"UniProt_ID","Summary"
"Q03442",""
"Q08DE2",""
"G5EE96","Predicted to enable C4-dicarboxylate transmembrane transporter activity; antiporter activity; and sulfur compound transmembrane transporter activity. Predicted to be involved in C4-dicarboxylate transport; inorganic anion transmembrane transport; and thiosulfate transport. Predicted to be located in mitochondrial inner membrane. Human ortholog(s) of this gene implicated in mitochondrial DNA depletion syndrome 19. Orthologous to human SLC25A10 (solute carrier family 25 member 10). [provided by Alliance of Genome Resources, Mar 2025]"
"Q5F364",""
"Q61P40",""
"P0C026",""
"Q504A5","Predicted to enable thiopurine S-methyltransferase activity. Predicted to act upstream of or within methylation. Predicted to be located in cytoplasm. Human ortholog(s) of this gene implicated in acute lymphoblastic leukemia; alopecia; leukopenia; and poor metabolism of thiopurines 1. Orthologous to human TPMT (thiopurine S-methyltransferase). [provided by Alliance of Genome Resources, Mar 2025]"
"P30044","This gene encodes a member of the peroxiredoxin family of antioxidant enzymes, which reduce hydrogen peroxide and alkyl hydroperoxides. The encoded protein interacts with peroxisome receptor 1 and plays an antioxidant protective role in different tissues under normal conditions and during inflammatory processes. The use of alternate transcription start sites is thought to result in transcript variants that use different in-frame translational start codons to generate isoforms that are targeted to the mitochondrion (isoform L) or peroxisome/cytoplasm (isoform S). Multiple related pseudogenes have been defined for this gene. [provided by RefSeq, Nov 2017]"
"Q9VAF5","Enables myosin binding activity. Involved in several processes, including apical protein localization; follicle cell microvillus organization; and positive regulation of clathrin-dependent endocytosis. Located in apical plasma membrane and microvillus. Colocalizes with brush border membrane and endosome. Is expressed in cone cell; follicle cell; and oocyte. Human ortholog(s) of this gene implicated in Usher syndrome type 1D; Usher syndrome type 1F; and autosomal recessive nonsyndromic deafness 23. Orthologous to human PCDH15 (protocadherin related 15). [provided by Alliance of Genome Resources, Mar 2025]"
"Q9P2S5","This gene encodes a member of the WD repeat protein family. WD repeats are minimally conserved regions of approximately 40 amino acids typically bracketed by gly-his and trp-asp (GH-WD), which may facilitate formation of heterotrimeric or multiprotein complexes. Members of this family are involved in a variety of cellular processes, including cell cycle progression, signal transduction, apoptosis, and gene regulation. Studies of the related mouse protein suggest that the encoded protein may play a role in the process of ossification. [provided by RefSeq, Mar 2009]"
"P18426","No match found"
"O94761","The protein encoded by this gene is a DNA helicase that belongs to the RecQ helicase family. DNA helicases unwind double-stranded DNA into single-stranded DNAs and may modulate chromosome segregation. This gene is predominantly expressed in thymus and testis. Mutations in this gene are associated with Rothmund-Thomson, RAPADILINO and Baller-Gerold syndromes. [provided by RefSeq, Jan 2010]"
"P13667","This gene product is the main apolipoprotein of chylomicrons and low density lipoproteins (LDL), and is the ligand for the LDL receptor. It occurs in plasma as two main isoforms, apoB-48 and apoB-100: the former is synthesized exclusively in the gut and the latter in the liver. The intestinal and the hepatic forms of apoB are encoded by a single gene from a single, very long mRNA. The two isoforms share a common N-terminal sequence. The shorter apoB-48 protein is produced after RNA editing of the apoB-100 transcript at residue 2180 (CAA->UAA), resulting in the creation of a stop codon, and early translation termination. Mutations in this gene or its regulatory region cause hypobetalipoproteinemia, normotriglyceridemic hypobetalipoproteinemia, and hypercholesterolemia due to ligand-defective apoB, diseases affecting plasma cholesterol and apoB levels. [provided by RefSeq, Dec 2019]"
"B3EWY9","No match found"
"Q00685","No match found"
"P12804","Acts upstream of or within several processes, including T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell; negative regulation of antigen processing and presentation; and negative regulation of memory T cell differentiation. Predicted to be located in extracellular region. Predicted to be active in collagen-containing extracellular matrix and extracellular space. Is expressed in several structures, including endometrium epithelium; extraembryonic component; nervous system; placenta; and skeleton. Used to study autoimmune glomerulonephritis. Orthologous to human FGL2 (fibrinogen like 2). [provided by Alliance of Genome Resources, Mar 2025]"
"P70389","Predicted to enable Roundabout binding activity; heparin binding activity; and insulin-like growth factor binding activity. Predicted to be involved in axon guidance and negative chemotaxis. Predicted to be part of insulin-like growth factor ternary complex. Is expressed in ductus deferens; epididymis; and testis. Orthologous to human IGFALS (insulin like growth factor binding protein acid labile subunit). [provided by Alliance of Genome Resources, Mar 2025]"
"Q07E02",""
"Q27433","Enables cholesterol binding activity. Involved in several processes, including detection of mechanical stimulus involved in sensory perception of touch; positive regulation of detection of mechanical stimulus involved in sensory perception of touch; and positive regulation of mechanosensory behavior. Located in neuron projection membrane. Is expressed in nervous system. Used to study nephrotic syndrome. Orthologous to human STOM (stomatin). [provided by Alliance of Genome Resources, Mar 2025]"
"Q3SZZ7",""
"Q95334",""
"Q26636","No match found"
"Q11002","Enables calcium-dependent cysteine-type endopeptidase activity. Involved in several processes, including determination of adult lifespan; neuron remodeling; and protein autoprocessing. Located in actin cytoskeleton and neuronal cell body. Is active in Golgi apparatus and endoplasmic reticulum. Is expressed in several structures, including adult central nervous system; adult head; gut section; head epidermis primordium; and neuromere. Used to study intellectual disability and obesity. Human ortholog(s) of this gene implicated in autosomal dominant limb-girdle muscular dystrophy; autosomal recessive limb-girdle muscular dystrophy type 2A; muscular dystrophy; and stomach cancer. Orthologous to several human genes including CAPN9 (calpain 9). [provided by Alliance of Genome Resources, Mar 2025]"
"A6H584","Predicted to be an extracellular matrix structural constituent conferring tensile strength. Predicted to be involved in extracellular matrix organization. Located in extracellular matrix. Is expressed in several structures, including diaphragm; genitourinary system; gut; musculoskeletal system; and spleen. Orthologous to human COL6A5 (collagen type VI alpha 5 chain). [provided by Alliance of Genome Resources, Mar 2025]"
"Q9I9M5","Predicted to enable G protein-coupled receptor activity. Predicted to act upstream of or within G protein-coupled receptor signaling pathway and Wnt signaling pathway. Predicted to be located in plasma membrane. Is expressed in mesoderm; nervous system; pharyngeal arch; and vestibuloauditory system. [provided by Alliance of Genome Resources, Mar 2025]"
"A0A481NSZ4","No match found"
"P24367",""
"Q8BTN6","Predicted to enable metal ion binding activity. Is expressed in several structures, including cranial ganglion; early conceptus; oocyte; telencephalon; and vibrissa. Orthologous to human LENG9 (leukocyte receptor cluster member 9). [provided by Alliance of Genome Resources, Mar 2025]"
"Q9H4G4","Enables protein homodimerization activity. Involved in positive regulation of ERK1 and ERK2 cascade; positive regulation of epithelial cell migration; and positive regulation of epithelial to mesenchymal transition. Located in Golgi membrane. Biomarker of pancreatic ductal adenocarcinoma. [provided by Alliance of Genome Resources, Mar 2025]"
"Q2IBC1",""
"B1H1E4","Predicted to enable ubiquitin conjugating enzyme binding activity; ubiquitin protein ligase activity; and zinc ion binding activity. Predicted to be involved in ubiquitin-dependent protein catabolic process. Predicted to act upstream of or within protein ubiquitination. Predicted to be located in Lewy body and nuclear body. Predicted to be part of cullin-RING ubiquitin ligase complex. Predicted to be active in cytoplasm and nucleus. Orthologous to human ARIH1 (ariadne RBR E3 ubiquitin protein ligase 1). [provided by Alliance of Genome Resources, Mar 2025]"
"Q9JHA8","Predicted to be located in extracellular region. Orthologous to human VWA7 (von Willebrand factor A domain containing 7). [provided by Alliance of Genome Resources, Mar 2025]"
"Q8CJH3","Enables GTPase activating protein binding activity and semaphorin receptor activity. Involved in several processes, including negative regulation of osteoblast proliferation; nervous system development; and positive regulation of intracellular signal transduction. Acts upstream of or within positive regulation of axonogenesis. Part of semaphorin receptor complex. Is expressed in several structures, including alimentary system; central nervous system; genitourinary system; respiratory system; and sensory organ. Orthologous to human PLXNB1 (plexin B1). [provided by Alliance of Genome Resources, Mar 2025]"
"Q8NFW1","This gene encodes member of the collagen family which is thought to contribute to the stabilization of myotendinous junctions and strengthen skeletal muscle attachments during contractile activity. It belongs to the fibril-associated collagens with interrupted triple helix (FACIT) subset of the collagen superfamily, which associate with collagen fibers through their C-terminal collagenous domains and mediate protein-protein interactions through their N-terminal noncollagenous domains. The encoded protein is deposited in the basement membrane zone of the myotendinous junction which is present only at the tissue junctions of muscles, tendons, the heart, articular cartilage, and skin. A knockdown of the orthologous zebrafish gene induces a muscular dystrophy by disruption of the myotendinous junction. [provided by RefSeq, May 2017]"
"A0A0K0YB03","No match found"
"P80249","No match found"
"Q98TA4",""
"Q07460",""
